show_id,var,len,type
s1,future,6,desc
s1,elite,5,desc
s1,inhabit,7,desc
s1,island,6,desc
s1,paradise,8,desc
s1,crowded,7,desc
s1,slums,5,desc
s1,chance,6,desc
s1,join,4,desc
s1,3%,2,desc
s1,saved,5,desc
s1,squalor,7,desc
s2,devastating,11,desc
s2,earthquake,10,desc
s2,hits,4,desc
s2,mexico,6,desc
s2,city,4,desc
s2,trapped,7,desc
s2,survivors,9,desc
s2,walks,5,desc
s2,life,4,desc
s2,wait,4,desc
s2,rescued,7,desc
s2,desperately,11,desc
s2,stay,4,desc
s2,alive,5,desc
s3,army,4,desc
s3,recruit,7,desc
s3,found,5,desc
s3,dead,4,desc
s3,fellow,6,desc
s3,soldiers,8,desc
s3,forced,6,desc
s3,confront,8,desc
s3,terrifying,10,desc
s3,secret,6,desc
s3,haunting,8,desc
s3,jungle,6,desc
s3,island,6,desc
s3,training,8,desc
s3,camp,4,desc
s4,postapocalyptic,15,desc
s4,world,5,desc
s4,rag-doll,8,desc
s4,robots,6,desc
s4,hide,4,desc
s4,fear,4,desc
s4,dangerous,9,desc
s4,machines,8,desc
s4,exterminate,11,desc
s4,brave,5,desc
s4,newcomer,8,desc
s4,joins,5,desc
s5,brilliant,9,desc
s5,students,8,desc
s5,card-counting,13,desc
s5,experts,7,desc
s5,intent,6,desc
s5,swindling,9,desc
s5,millions,8,desc
s5,las,3,desc
s5,vegas,5,desc
s5,casinos,7,desc
s5,playing,7,desc
s5,blackjack,9,desc
s6,genetics,8,desc
s6,professor,9,desc
s6,experiments,11,desc
s6,treatment,9,desc
s6,comatose,8,desc
s6,sister,6,desc
s6,blends,6,desc
s6,medical,7,desc
s6,shamanic,8,desc
s6,cures,5,desc
s6,unlocks,7,desc
s6,shocking,8,desc
s6,effect,6,desc
s7,awful,5,desc
s7,accident,8,desc
s7,couple,6,desc
s7,admitted,8,desc
s7,grisly,6,desc
s7,hospital,8,desc
s7,separated,9,desc
s7,escape,6,desc
s7,—,1,desc
s7,death,5,desc
s8,school,6,desc
s8,students,8,desc
s8,attacks,7,desc
s8,dedicated,9,desc
s8,teacher,7,desc
s8,trevor,6,desc
s8,garfield,8,desc
s8,grows,5,desc
s8,weary,5,desc
s8,gang,4,desc
s8,warfare,7,desc
s8,york,4,desc
s8,city,4,desc
s8,school,6,desc
s8,system,6,desc
s8,moves,5,desc
s8,california,10,desc
s8,teach,5,desc
s8,thinking,8,desc
s8,hostile,7,desc
s8,environment,11,desc
s9,doctor,6,desc
s9,missing,7,desc
s9,psychiatrist,12,desc
s9,wife,4,desc
s9,treats,6,desc
s9,bizarre,7,desc
s9,medical,7,desc
s9,condition,9,desc
s9,psychic,7,desc
