show_id,var,type
s1,,director
s2,Jorge Michel Grau,director
s3,Gilbert Chan,director
s4,Shane Acker,director
s5,Robert Luketic,director
s6,Serdar Akar,director
s7,Yasir Al Yasiri,director
s8,Kevin Reynolds,director
s9,Shravan Kumar,director
s10,Vikram Bhatt,director
s11,Zak Hilditch,director
s12,,director
s13,Diego Enrique Osorno,director
s14,Nottapon Boonprakob,director
s15,John Suits,director
s16,Kunle Afolayan,director
s17,,director
s18,Paul Greengrass,director
s19,Swapnaneel Jayakar,director
s20,,director
s21,Onir,director
s22,Vijay Milton,director
s23,Santwana Bardoloi,director
s24,Atanu Ghosh,director
s25,,director
s26,Lyric R. Cabral,director
s26,David Felix Sutcliffe,director
s27,,director
s28,Cho Il,director
s29,Sabina Fedeli,director
s29,Anna Migotto,director
s30,,director
s31,Michael Margolis,director
s32,Rako Prijanto,director
s33,Rako Prijanto,director
s34,Fernando Lebrija,director
s35,Michael Kennedy,director
s36,Robert McCullough Jr.,director
s37,Cristina Jacob,director
s38,Cristina Jacob,director
s39,,director
s40,Frank Ariza,director
s41,Muharrem Gülmez,director
s42,Óskar Thór Axelsson,director
s43,Ozan Açıktan,director
s44,Kenneth Gyang,director
s45,Karyn Kusama,director
s46,,director
s47,Adam Deyoe,director
s48,Leif Tilden,director
s49,Adze Ugah,director
s50,Nicolas Brossette,director
s51,Roland Emmerich,director
s52,,director
s53,,director
s54,,director
s55,Marcel Barrena,director
s56,,director
s57,Melinda Janko,director
s58,Jastis Arimba,director
s59,,director
s60,Shrihari Sathe,director
s61,Sam Upton,director
s62,,director
s63,Victor Zarcoff,director
s64,,director
s65,,director
s66,Daniel Stamm,director
s67,Ava DuVernay,director
s68,,director
s69,Daniel Lee,director
s70,Scott Hussion,director
s70,Seth Fuller,director
s71,Adam Davis,director
s71,Jerry Kolber,director
s71,Trey Nelson,director
s71,Erich Sturm,director
s72,Richard Donner,director
s73,Burr Steers,director
s74,Francesco Amato,director
s75,Salvador Calvo,director
s76,David Marmor,director
s77,Raymond Wood,director
s78,Ramzy Bedia,director
s78,Éric Judor,director
s79,Abhishek Varman,director
s80,Morgan Neville,director
s81,,director
s82,,director
s83,Hasraf Dulull,director
s84,Mike Mills,director
s85,Jon Lucas,director
s85,Scott Moore,director
s86,,director
s87,,director
s88,,director
s89,Joey Curtis,director
s90,Brian Smrz,director
s91,Simranjit Singh Hundal,director
s92,Geun-hyun Cho,director
s93,Nicanor Loreti,director
s94,Simon Napier-Bell,director
s95,Betty Thomas,director
s96,,director
s97,McG,director
s98,Nagesh Kukunoor,director
s99,Gaby Dellal,director
s100,Iman Brotoseno,director
s101,Rajkumar Hirani,director
s102,Shazia Javed,director
s103,Sinan Akkuş,director
s104,Hani Hamdi,director
s105,Ruben Fleischer,director
s106,Maciej Dejczer,director
s107,Barbara Białowąs,director
s107,Tomasz Mandes,director
s108,Hikari,director
s109,,director
s110,Victor Gatonye,director
s111,Jack C. Newell,director
s112,,director
s113,,director
s114,Marco Deufemia,director
s114,Justin G. Dyck,director
s115,Gerardo Olivares,director
s116,Andrew Nackman,director
s117,Ishaya Bako,director
s118,Anggy Umbara,director
s119,Richard Loncraine,director
s120,Marco Risi,director
s121,Victor Levin,director
s122,Peter Segal,director
s123,Jonathan Levine,director
s124,Rizal Mantovani,director
s125,Matei Dima,director
s126,Marja Lewis Ryan,director
s127,Toa Fraser,director
s128,Michael Bay,director
s129,Hannah Fidell,director
s130,Bharat Jain,director
s131,,director
s132,Trent Haaga,director
s133,Nizar Shafi,director
s134,Roger Gual,director
s135,,director
s136,Meenu Gaur,director
s136,Farjad Nabi,director
s137,Vishal Bhardwaj,director
s138,,director
s139,,director
s140,,director
s141,,director
s142,,director
s143,,director
s144,Anita Udeep,director
s145,Steve Gukas,director
s146,Clay Glen,director
s147,Everardo González,director
s148,Rachel Talalay,director
s149,Jon Lucas,director
s149,Scott Moore,director
s150,Andrew Lau Wai-Keung,director
s151,Padmakumar Narasimhamurthy,director
s152,John Asher,director
s153,,director
s154,Richard Attenborough,director
s155,Shaun Paul Piccinino,director
s156,David de Vos,director
s157,Umut Kirca,director
s158,Kevin Ko,director
s158,Peter Tsi,director
s159,,director
s160,Alex Zamm,director
s161,John Schultz,director
s162,John Schultz,director
s163,Thomas Astruc,director
s164,Mark Rosman,director
s165,Michelle Johnston,director
s166,Stanley Kubrick,director
s167,Stephen Gyllenhaal,director
s168,Savage Steve Holland,director
s169,Tyler Perry,director
s170,Tom Fassaert,director
s171,Mark Williams,director
s172,Robbie Countryman,director
s173,Remo D'Souza,director
s174,Bille August,director
s175,David Wain,director
s176,David Lowery,director
s177,Roman Coppola,director
s178,Stanley Moore,director
s178,Alex Woo,director
s179,Alex Woo,director
s179,Stanley Moore,director
s180,Stanley Moore,director
s180,Alex Woo,director
s181,,director
s182,Richard Mears,director
s183,Erik Nelson,director
s184,Michael Tiddes,director
s185,Teo Konuralp,director
s186,Thomas Stuber,director
s187,Jim Fall,director
s188,Herman Yau,director
s189,,director
s190,Coodie,director
s190,Chike,director
s191,Andy Goddard,director
s192,,director
s193,Yeo Siew Hua,director
s194,Chris Bell,director
s195,Francisco Macri,director
s196,Steven Bognar,director
s196,Julia Reichert,director
s197,Alan Rickman,director
s198,,director
s199,,director
s200,,director
s201,Sophia Nahli Allison,director
s202,Maryo J. De los Reyes,director
s203,,director
s204,Thomas Sorriaux,director
s205,Ahmad El-Badri,director
s206,J.A. Bayona,director
s207,J.C. Chandor,director
s208,Christopher S. Rech,director
s208,Brandon Kimber,director
s209,,director
s210,Otoja Abit,director
s211,John Fortenberry,director
s212,Joram Lürsen,director
s213,Michael Lennox,director
s214,,director
s215,Nicole Conn,director
s216,Kees Van Oostrum,director
s217,,director
s218,Michael Damian,director
s219,Carla Barros,director
s220,Marina Seresesky,director
s221,Henry Sarwer-Foner,director
s222,Ishaan Trivedi,director
s223,Cathy Garcia-Molina,director
s224,Chris Bolan,director
s225,Asghar Farhadi,director
s226,,director
s227,Ethan Coen,director
s227,Joel Coen,director
s228,Richard Phelan,director
s228,Will Becher,director
s229,Naoko Yamada,director
s230,Tom Ford,director
s231,Diego Lerman,director
s232,Maria Burton,director
s233,Larry Elikann,director
s234,Evan Spiridellis,director
s234,Jeff Gill,director
s235,Chung Mong-hong,director
s236,,director
s237,Natalie Portman,director
s238,Trisha Ziff,director
s239,Martin Lawrence,director
s240,,director
s241,Brian Robbins,director
s242,,director
s243,Eddie Rosas,director
s244,Robert O. Peters,director
s245,Ravishankar Venkateswaran,director
s246,Álvaro Brechner,director
s247,Justin G. Dyck,director
s248,Sofia Coppola,director
s249,,director
s250,Cathy Garcia-Molina,director
s251,Adam Shankman,director
s252,Neeraj Pandey,director
s253,Gregory Caruso,director
s254,Junichi Sato,director
s254,Tomotaka Shibayama,director
s255,Justin G. Dyck,director
s256,Ava DuVernay,director
s257,,director
s258,K. Rajagopal,director
s259,,director
s260,,director
s261,Kazuya Murata,director
s262,Rusty Nixon,director
s263,Oliver Daly,director
s264,Ömer Faruk Sorak,director
s265,Midhun Manuel Thomas,director
s266,Indrajit Nattoji,director
s267,Chandrakant Kulkarni,director
s268,Rajiv Mehra,director
s269,V C Abhilash,director
s270,Raj Kumar Gupta,director
s271,Satish Rajwade,director
s272,Prakash Jha,director
s273,Nagesh Kukunoor,director
s274,Umesh Mehra,director
s275,Uttung Shelar,director
s276,Ravi Babu,director
s277,Kyran Kelly,director
s278,Atanu Ghosh,director
s279,Remo D'Souza,director
s280,Remo D'Souza,director
s281,,director
s282,Skye Borgman,director
s283,Hashim Nadeem Khan,director
s284,A. L. Vijay,director
s285,Jung-ah Im,director
s285,Seung-uk Jo,director
s286,Chad Van De Keere,director
s287,Chris Weitz,director
s287,Paul Weitz,director
s288,Richard Curtis,director
s289,,director
s290,,director
s291,,director
s292,Daniela Goggi,director
s293,Alfonso Serrano Maturino,director
s294,Cheang Pou Soi,director
s295,,director
s296,Ralph Macchio,director
s297,Julien Christian Lutz,director
s298,Julie Taymor,director
s299,Mike McCoy,director
s299,Scott Waugh,director
s300,Mahsun Kırmızıgül,director
s301,Vipul Amrutlal Shah,director
s302,Isaac Florentine,director
s303,Brett Donowho,director
s304,,director
s305,Salvador Calvo,director
s306,Jay Karas,director
s307,,director
s308,Steve Brill,director
s309,Robert Markowitz,director
s310,Thierry Donard,director
s311,,director
s312,,director
s313,Fazila Allana,director
s314,Anne Fontaine,director
s315,Baltasar Kormákur,director
s316,Sandeep Chatterjee,director
s317,Jennifer Phang,director
s318,Kyle Rideout,director
s319,S.A. Zaidi,director
s320,,director
s321,Junior Carelli,director
s321,Rudge Campos,director
s322,,director
s323,Juliana Vicente,director
s324,Jenny Gage,director
s325,,director
s326,Nadia Hallgren,director
s327,Bryce Wagoner,director
s328,Brittany Andrews,director
s329,Rodrigo Reyes,director
s330,Roger Kumble,director
s331,Elliott Lester,director
s332,Antonio Campos,director
s333,Nicolás López,director
s334,,director
s335,Terry Loane,director
s336,,director
s337,,director
s338,Peter Ho,director
s339,,director
s340,,director
s341,,director
