show_id,var,type
s1,International TV Shows,genres
s1,TV Dramas,genres
s1,TV Sci-Fi & Fantasy,genres
s2,Dramas,genres
s2,International Movies,genres
s3,Horror Movies,genres
s3,International Movies,genres
s4,Action & Adventure,genres
s4,Independent Movies,genres
s4,Sci-Fi & Fantasy,genres
s5,Dramas,genres
s6,International TV Shows,genres
s6,TV Dramas,genres
s6,TV Mysteries,genres
s7,Horror Movies,genres
s7,International Movies,genres
s8,Dramas,genres
s9,Horror Movies,genres
s9,International Movies,genres
s10,Horror Movies,genres
s10,International Movies,genres
s10,Thrillers,genres
s11,Dramas,genres
s11,Thrillers,genres
s12,Crime TV Shows,genres
s12,International TV Shows,genres
s12,TV Dramas,genres
s13,Crime TV Shows,genres
s13,Docuseries,genres
s13,International TV Shows,genres
s14,Documentaries,genres
s14,International Movies,genres
s14,Sports Movies,genres
s15,Independent Movies,genres
s15,Sci-Fi & Fantasy,genres
s15,Thrillers,genres
s16,Dramas,genres
s16,International Movies,genres
s16,Thrillers,genres
s17,International TV Shows,genres
s17,TV Dramas,genres
s18,Dramas,genres
s18,Thrillers,genres
s19,Comedies,genres
s19,Dramas,genres
s19,Independent Movies,genres
s20,Sports Movies,genres
s21,Dramas,genres
s21,Independent Movies,genres
s21,International Movies,genres
s22,Action & Adventure,genres
s22,Dramas,genres
s22,International Movies,genres
s23,Dramas,genres
s23,International Movies,genres
s24,Dramas,genres
s24,International Movies,genres
s25,Anime Series,genres
s25,International TV Shows,genres
s26,Documentaries,genres
s27,Reality TV,genres
s28,Horror Movies,genres
s28,International Movies,genres
s28,Thrillers,genres
s29,Documentaries,genres
s29,International Movies,genres
s30,TV Comedies,genres
s31,Documentaries,genres
s31,International Movies,genres
s32,Dramas,genres
s32,International Movies,genres
s32,Romantic Movies,genres
s33,Dramas,genres
s33,International Movies,genres
s33,Romantic Movies,genres
s34,Comedies,genres
s35,Comedies,genres
s35,Romantic Movies,genres
s36,Documentaries,genres
s36,Sports Movies,genres
s37,Comedies,genres
s37,Dramas,genres
s37,International Movies,genres
s38,Comedies,genres
s38,Dramas,genres
s38,International Movies,genres
s39,International TV Shows,genres
s39,Romantic TV Shows,genres
s39,TV Comedies,genres
s40,Comedies,genres
s40,International Movies,genres
s41,Comedies,genres
s41,International Movies,genres
s42,Horror Movies,genres
s42,International Movies,genres
s43,Comedies,genres
s43,International Movies,genres
s44,Dramas,genres
s44,International Movies,genres
s45,Action & Adventure,genres
s45,Sci-Fi & Fantasy,genres
s46,Crime TV Shows,genres
s46,International TV Shows,genres
s46,TV Dramas,genres
s47,Dramas,genres
s47,Romantic Movies,genres
s48,Dramas,genres
s48,Romantic Movies,genres
s48,Sports Movies,genres
s49,Comedies,genres
s49,International Movies,genres
s49,Romantic Movies,genres
s50,Comedies,genres
s50,Dramas,genres
s50,International Movies,genres
s51,Action & Adventure,genres
s52,International TV Shows,genres
s52,Romantic TV Shows,genres
s52,TV Dramas,genres
s53,Documentaries,genres
s53,International Movies,genres
s54,Docuseries,genres
s54,Science & Nature TV,genres
s55,Dramas,genres
s55,International Movies,genres
s55,Sports Movies,genres
s56,Movies,genres
s57,Documentaries,genres
s58,Dramas,genres
s58,International Movies,genres
s59,British TV Shows,genres
s59,International TV Shows,genres
s59,Reality TV,genres
s60,Dramas,genres
s60,International Movies,genres
s61,Dramas,genres
s61,Independent Movies,genres
s61,Sports Movies,genres
s62,International TV Shows,genres
s62,Korean TV Shows,genres
s62,Romantic TV Shows,genres
s63,Horror Movies,genres
s63,Independent Movies,genres
s63,Thrillers,genres
s64,Crime TV Shows,genres
s64,TV Dramas,genres
s64,TV Mysteries,genres
s65,Crime TV Shows,genres
s65,Docuseries,genres
s66,Horror Movies,genres
s66,Thrillers,genres
s67,Documentaries,genres
s68,Movies,genres
s69,Action & Adventure,genres
s69,International Movies,genres
s70,Horror Movies,genres
s70,Thrillers,genres
s71,Documentaries,genres
s72,Action & Adventure,genres
s73,Comedies,genres
s74,Dramas,genres
s74,Independent Movies,genres
s74,International Movies,genres
s75,Dramas,genres
s75,International Movies,genres
s76,Horror Movies,genres
s76,Independent Movies,genres
s76,Thrillers,genres
s77,Horror Movies,genres
s77,Independent Movies,genres
s78,Comedies,genres
s78,International Movies,genres
s79,Comedies,genres
s79,Dramas,genres
s79,International Movies,genres
s80,Documentaries,genres
s80,Music & Musicals,genres
s81,Crime TV Shows,genres
s81,International TV Shows,genres
s81,TV Dramas,genres
s82,International Movies,genres
s82,Music & Musicals,genres
s83,Sci-Fi & Fantasy,genres
s84,Dramas,genres
s84,Independent Movies,genres
s85,Comedies,genres
s86,British TV Shows,genres
s86,Reality TV,genres
s87,International TV Shows,genres
s87,TV Dramas,genres
s88,Crime TV Shows,genres
s88,International TV Shows,genres
s88,TV Dramas,genres
s89,Action & Adventure,genres
s89,Independent Movies,genres
s89,Sci-Fi & Fantasy,genres
s90,Action & Adventure,genres
s91,Action & Adventure,genres
s91,Dramas,genres
s91,International Movies,genres
s92,Dramas,genres
s92,International Movies,genres
