show_id,var,seq,type
s1,João Miguel,1,cast_member
s2,Demián Bichir,1,cast_member
s3,Tedd Chan,1,cast_member
s4,Elijah Wood,1,cast_member
s5,Jim Sturgess,1,cast_member
s6,Erdal Beşikçioğlu,1,cast_member
s7,Amina Khalil,1,cast_member
s8,Samuel L. Jackson,1,cast_member
s9,Divya Dutta,1,cast_member
s10,Rajneesh Duggal,1,cast_member
s11,Thomas Jane,1,cast_member
s12,Robert Więckiewicz,1,cast_member
s14,Artiwara Kongmalai,1,cast_member
s15,Omar Epps,1,cast_member
s16,Sadiq Daba,1,cast_member
s17,Shahd El Yaseen,1,cast_member
s18,Anders Danielsen Lie,1,cast_member
s19,Rahul Pethe,1,cast_member
s20,Lee Dixon,1,cast_member
s21,Geetanjali Thapa,1,cast_member
s22,Samuthirakani,1,cast_member
s23,Adil Hussain,1,cast_member
s24,Soumitra Chatterjee,1,cast_member
s25,Bryson Baugus,1,cast_member
s28,Yoo Ah-in,1,cast_member
s29,Helen Mirren,1,cast_member
s30,Kenya Barris,1,cast_member
s32,Adipati Dolken,1,cast_member
s33,Adipati Dolken,1,cast_member
s34,Nesta Cooper,1,cast_member
s35,Jake Short,1,cast_member
s37,Flavia Hojda,1,cast_member
s38,Maia Morgenstern,1,cast_member
s39,Chutavuth Pattarakampol,1,cast_member
s40,Estefanía de los Santos,1,cast_member
s41,Erdem Yener,1,cast_member
s42,Jóhannes Haukur Jóhannesson,1,cast_member
s43,Ayça Erturan,1,cast_member
s44,Beverly Osu,1,cast_member
s45,Charlize Theron,1,cast_member
s46,Alican Yücesoy,1,cast_member
s47,Lexi Giovagnoli,1,cast_member
s48,Billy Crudup,1,cast_member
s49,Ayo Makun,1,cast_member
s50,Franck Dubosc,1,cast_member
s51,Steven Strait,1,cast_member
s52,Doh Kyung-soo,1,cast_member
s54,Zainab Johnson,1,cast_member
s55,Dani Rovira,1,cast_member
s56,Isabela Moner,1,cast_member
s58,Anisa Rahma,1,cast_member
s59,Daniel Palmer,1,cast_member
s60,Usha Naik,1,cast_member
s61,Sam Upton,1,cast_member
s62,So-yeon Lee,1,cast_member
s63,PJ McCabe,1,cast_member
s64,Dylan Minnette,1,cast_member
s65,Dylan Minnette,1,cast_member
s66,Mark Webber,1,cast_member
s68,Oprah Winfrey,1,cast_member
s69,Donnie Yen,1,cast_member
s70,Neville Archambault,1,cast_member
s72,Bruce Willis,1,cast_member
s73,Zac Efron,1,cast_member
s74,Vittoria Puccini,1,cast_member
s75,Luis Tosar,1,cast_member
s76,Nicole Brydon Bloom,1,cast_member
s77,Hayley Lovitt,1,cast_member
s78,Ramzy Bedia,1,cast_member
s79,Alia Bhatt,1,cast_member
s80,Darlene Love,1,cast_member
s81,Tuba Büyüküstün,1,cast_member
s82,4Minute,1,cast_member
s83,Katee Sackhoff,1,cast_member
s84,Annette Bening,1,cast_member
s85,Miles Teller,1,cast_member
s86,Laura Morgan,1,cast_member
s87,Luke Kenny,1,cast_member
s88,Stephanie Bennett,1,cast_member
s89,Paul Sidhu,1,cast_member
s90,Ethan Hawke,1,cast_member
s91,Guggu Gill,1,cast_member
s92,Goo Jin,1,cast_member
s93,Diego Capusotto,1,cast_member
s94,Janis Joplin,1,cast_member
s95,Sandra Bullock,1,cast_member
s96,Jin-sung Yang,1,cast_member
s97,Kevin Costner,1,cast_member
s98,Naseeruddin Shah,1,cast_member
s99,Elle Fanning,1,cast_member
s100,Reza Rahadian,1,cast_member
s101,Aamir Khan,1,cast_member
s103,Kostja Ullmann,1,cast_member
s104,Taher Farouz,1,cast_member
s105,Jesse Eisenberg,1,cast_member
s106,Krzysztof Stroiński,1,cast_member
s107,Anna-Maria Sieklucka,1,cast_member
s108,Mei Kayama,1,cast_member
s109,Tatiana Maslany,1,cast_member
s110,Robert Agengo,1,cast_member
s111,Jake Bickelhaupt,1,cast_member
s112,Sarah Natochenny,1,cast_member
s113,Carlos Cuevas,1,cast_member
s114,Khiyla Aynne,1,cast_member
s115,Jean Reno,1,cast_member
s116,Evan Todd,1,cast_member
s117,Kate Henshaw-Nuttal,1,cast_member
s118,Ario Bayu,1,cast_member
s119,Josh Pais,1,cast_member
s120,Massimo Ghini,1,cast_member
s121,Anton Yelchin,1,cast_member
s122,Adam Sandler,1,cast_member
s123,Joseph Gordon-Levitt,1,cast_member
s124,Herjunot Ali,1,cast_member
s125,Andrei Selaru,1,cast_member
s126,Abbi Jacobson,1,cast_member
s127,Jamie Bell,1,cast_member
s128,Ryan Reynolds,1,cast_member
s129,Taissa Farmiga,1,cast_member
s130,Prashantt Guptha,1,cast_member
s132,Matthew Gray Gubler,1,cast_member
s133,Rahman,1,cast_member
s134,Paco León,1,cast_member
s136,Mahira Khan,1,cast_member
s137,Priyanka Chopra,1,cast_member
s139,Bob Brisbane,1,cast_member
s140,Bob Brisbane,1,cast_member
s141,Mitch Ryan,1,cast_member
s142,Nao Toyama,1,cast_member
s143,Demetri Goritsas,1,cast_member
s144,Oviya,1,cast_member
s145,Bimbo Akintola,1,cast_member
s146,Nina Pearce,1,cast_member
s148,Tamara Smart,1,cast_member
s149,Mila Kunis,1,cast_member
s150,Qi Shu,1,cast_member
s151,Dhruva Padmakumar,1,cast_member
s152,Christopher Gorham,1,cast_member
s153,Crowd Lu,1,cast_member
s154,Dirk Bogarde,1,cast_member
s155,Lauren Swickard,1,cast_member
s156,Mandy Grace,1,cast_member
s157,Emre Karayel,1,cast_member
s158,Kai Ko,1,cast_member
s159,Emily Alatalo,1,cast_member
s160,Rose McIver,1,cast_member
s161,Rose McIver,1,cast_member
s162,Rose McIver,1,cast_member
s163,Cristina Vee,1,cast_member
s164,Hilary Duff,1,cast_member
s165,Laura Marano,1,cast_member
s166,Malcolm McDowell,1,cast_member
s167,Debra Winger,1,cast_member
s168,Drake Bell,1,cast_member
s169,Crystal Fox,1,cast_member
s170,Tom Fassaert,1,cast_member
s171,Gerard Butler,1,cast_member
s172,Loretta Devine,1,cast_member
s173,Tiger Shroff,1,cast_member
s174,Esben Smed,1,cast_member
s175,Will Forte,1,cast_member
s176,Casey Affleck,1,cast_member
